prompt,tier,red_flag,condition,emotion,usage_mode,narrative_type
Do you often feel emotionally overwhelmed?,1,False,"CPTSD, BPD, PMDD","overwhelm, shutdown",reflection,lived_experience
Do you lose time or space out during stressful moments?,1,False,"CPTSD, ADHD, Autism",dissociation,reflection,metaphor
Do your emotions feel like they flip quickly or spiral out of control?,1,False,"BPD, PMDD, Bipolar II","emotional_whiplash, shame",reflection,reframe
Do you often feel misunderstood or misjudged by others?,1,False,"Autism, ADHD, BPD","rejection, confusion",reflection,lived_experience
"Do you struggle to get started, even when you want to?",1,False,"ADHD, Depression","stuck, guilt",reflection,reframe
Do you replay past mistakes or regrets often?,1,False,"Depression, CPTSD, OCD","shame, rumination",reflection,compare_support
Do you worry about small things becoming big problems?,1,False,"GAD, OCD",anxiety,reflection,psychoeducation
Do you feel like you're masking or hiding your true self?,1,False,"Autism, ADHD, BPD","shame, identity_fatigue",reflection,lived_experience
Do you find it hard to explain your inner experience to others?,1,False,"Autism, CPTSD","frustration, disconnect",reflection,metaphor
Have you ever felt so low you wished you could disappear?,1,True,"Depression, CPTSD","hopelessness, despair",reflection,lived_experience
Do you often feel like your thoughts are racing or tangled?,1,False,"ADHD, Anxiety, Bipolar II","mental_noise, overwhelm",reflection,metaphor
Do you ever feel like you're too much for people — or not enough?,1,False,"BPD, Autism, CPTSD","shame, self_doubt",reflection,reframe
Do you ever feel unsafe even when nothing is happening around you?,1,False,"CPTSD, Anxiety","hypervigilance, fear",reflection,lived_experience
Do you get stuck in thoughts like 'what if' or 'did I do something wrong'?,1,False,"OCD, GAD, CPTSD","anxiety, guilt",reflection,compare_support
Do you find yourself exhausted by being around people?,1,False,"Autism, ADHD, CPTSD","drained, overwhelm",reflection,lived_experience
Do your moods shift quickly based on how others treat you?,1,False,"BPD, PMDD","emotional_whiplash, abandonment_fear",reflection,lived_experience
Do you often feel like you're performing instead of being real?,1,False,"Autism, BPD, CPTSD","masking, detachment",reflection,identity
Do you find yourself picking fights or withdrawing to avoid being hurt?,1,False,"BPD, CPTSD","fear, abandonment_fear",reflection,lived_experience
Do you ever feel like you’re watching yourself from the outside?,1,False,"CPTSD, Depression, Autism","dissociation, numbness",reflection,metaphor
Have you ever had thoughts that scared you — even though you didn’t act on them?,1,True,"OCD, PTSD, BPD","distress, shame",reflection,psychoeducation
"Do you often find yourself checking things over and over, just to be sure?",1,False,"OCD, Anxiety","uncertainty, fear",reflection,psychoeducation
Do you ever feel like you're going through the motions without feeling much?,1,False,"Depression, CPTSD, Autism","numbness, disconnection",reflection,metaphor
Do you get overwhelmed by sudden changes to plans or routines?,1,False,"Autism, OCD, GAD","overwhelm, frustration",reflection,lived_experience
Do you sometimes feel empty or like you're not sure who you are?,1,False,"BPD, Depression","emptiness, identity_confusion",reflection,reframe
"Do you struggle to remember parts of your past, especially around intense moments?",1,False,"CPTSD, Dissociation","confusion, disconnection",reflection,lived_experience
"Do loud noises, bright lights, or busy spaces make you feel overloaded?",1,False,"Autism, ADHD, PTSD","sensory_overload, irritation",reflection,psychoeducation
Do you feel like you’re constantly bracing for something bad to happen?,1,False,"CPTSD, Anxiety, OCD","hypervigilance, anxiety",reflection,lived_experience
Do you find it hard to trust when things are going well?,1,False,"CPTSD, BPD","suspicion, fear",reflection,reframe
Do your emotions sometimes feel too big for the situation?,1,False,"BPD, PMDD, Bipolar II","emotional_intensity, self_doubt",reflection,compare_support
"Have you ever thought about hurting yourself, even just in passing?",1,True,"Depression, BPD","distress, despair",reflection,lived_experience
"Do you often second-guess what you said, even hours after a conversation?",1,False,"OCD, GAD, Autism","self_doubt, anxiety",reflection,rumination
Do you sometimes feel emotionally detached even when you care deeply?,1,False,"Autism, Depression, CPTSD","numbness, disconnect",reflection,metaphor
Do you often take on the emotions of people around you without meaning to?,1,False,"BPD, Autism, CPTSD","flooded, absorption",reflection,lived_experience
Do you feel like your energy levels are unpredictable or chaotic?,1,False,"Bipolar II, ADHD, PMDD","instability, overwhelm",reflection,reframe
"Do you try to anticipate what others want or need, just to stay safe?",1,False,"CPTSD, BPD, Autism","fawn, fear",reflection,lived_experience
"Do you have rituals, routines, or habits that help you feel in control?",1,False,"OCD, Autism, GAD","control, safety",reflection,psychoeducation
Do you feel like your body reacts before your mind understands what’s wrong?,1,False,"CPTSD, PMDD","anxiety, confusion",reflection,somatic
Do you feel a strong sense of guilt or responsibility even when things aren't your fault?,1,False,"Depression, OCD, GAD","guilt, shame",reflection,reframe
Do you ever act impulsively and feel confused about why you did it?,1,False,"ADHD, BPD, Bipolar II","conflict, regret",reflection,impulsivity
Have you ever seriously thought about ending your life?,1,True,"Depression, BPD, CPTSD","hopelessness, despair",reflection,lived_experience
"Do you often feel like you’re falling behind, no matter how hard you try?",1,False,"ADHD, Depression","shame, failure",reflection,reframe
Do you struggle to relax even in safe environments?,1,False,"CPTSD, Anxiety, Autism","hypervigilance, tension",reflection,psychoeducation
Do you often criticize yourself in your head?,1,False,"Depression, OCD, CPTSD","shame, self_criticism",reflection,compare_support
Do you find comfort in repetition or familiar routines?,1,False,"Autism, OCD","safety, calm",reflection,lived_experience
Do you feel like your emotions hit you before you understand why?,1,False,"PMDD, BPD, ADHD","confusion, emotional_whiplash",reflection,somatic
Do you try to keep everything inside so you don’t burden others?,1,False,"CPTSD, Depression, GAD","guilt, isolation",reflection,lived_experience
Do you ever feel like your body is on edge for no clear reason?,1,False,"CPTSD, Anxiety, Autism","anxiety, nervous_system",reflection,somatic
Do you often assume you’re the one at fault when something goes wrong?,1,False,"OCD, Depression, CPTSD","guilt, responsibility",reflection,reframe
Do you ever feel like you can’t stop trying to prove your worth?,1,False,"BPD, CPTSD, ADHD","insecurity, performance_fear",reflection,identity
Have you ever felt like disappearing would be easier than explaining how you feel?,1,True,"Depression, CPTSD","shame, despair",reflection,lived_experience
Do you ever feel like your emotions hit harder than others around you — even for small things?,2,False,"BPD, PMDD, ADHD","emotional_intensity, self_doubt",reflection,compare_support
Do you get stuck in cycles of overthinking or trying to fix the same thought over and over?,2,False,"OCD, GAD, Depression","rumination, uncertainty",reflection,psychoeducation
"Do you ever feel like your body is stuck in survival mode, even when you’re safe?",2,False,"CPTSD, Autism","hypervigilance, tension",reflection,somatic
Do you find it hard to tell what you’re feeling — or name your emotions clearly?,2,False,"Autism, Depression, CPTSD","confusion, emotional_blunting",reflection,identity
