Symptom Prompt (Echo-style),Mapped Diagnosis,Source File
Why is exercise motivation often hard for ADHD brains?,ADHD,exercise_routine_flashcards_001_adhd_and_exercise_motivation.json
Why are routines difficult for ADHD brains?,ADHD,exercise_routine_flashcards_002_building_consistent_routines.json
Why is movement especially helpful for ADHD and trauma?,ADHD,exercise_routine_flashcards_003_movement_for_emotional_regulation.json
What is inertia in the ADHD context?,ADHD,exercise_routine_flashcards_004_overcoming_burnout_and_inertia.json
What is task initiation in the context of ADHD?,ADHD,exercise_routine_flashcards_005_adhd_and_task_initiation.json
Why are morning routines helpful for ADHD brains?,ADHD,exercise_routine_flashcards_006_morning_routines_and_momentum.json
Why are evening routines important for ADHD brains?,ADHD,exercise_routine_flashcards_007_evening_routines_and_winddown.json
Why is this important for ADHD and low-motivation states?,ADHD,exercise_routine_flashcards_008_movement_as_dopamine_replacement.json
Why do traditional habit strategies often fail for neurodivergent brains?,ADHD,exercise_routine_flashcards_010_neurodivergent_friendly_habit_design.json
Can ADHD and testosterone interact?,ADHD,hormones_flashcards_003_testosterone_motivation_risk.json
How does cortisol affect ADHD or trauma brains?,ADHD,hormones_flashcards_004_cortisol_stress_burnout.json
Why does ADHD increase risk of blood sugar swings?,ADHD,hormones_flashcards_005_insulin_blood_sugar_mood.json
How do hormone cycles influence ADHD symptoms?,ADHD,hormones_flashcards_006_hormone_cycles_adhd.json
What is PMDD and how does it relate to ADHD?,PMDD,hormones_flashcards_006_hormone_cycles_adhd.json
What is PMDD and how does it relate to ADHD?,ADHD,hormones_flashcards_006_hormone_cycles_adhd.json
What conditions are often affected by hormone sensitivity?,ADHD,hormones_flashcards_007_neurodivergence_hormone_sensitivity.json
What conditions are often affected by hormone sensitivity?,Autism,hormones_flashcards_007_neurodivergence_hormone_sensitivity.json
What conditions are often affected by hormone sensitivity?,PMDD,hormones_flashcards_007_neurodivergence_hormone_sensitivity.json
What is PMDD?,PMDD,hormones_flashcards_008_pmdd_perimenopause_dysregulation.json
How does PMDD differ from PMS?,PMDD,hormones_flashcards_008_pmdd_perimenopause_dysregulation.json
How can ADHD and PMDD overlap?,ADHD,hormones_flashcards_008_pmdd_perimenopause_dysregulation.json
What’s one danger of unacknowledged PMDD or perimenopause?,PMDD,hormones_flashcards_008_pmdd_perimenopause_dysregulation.json
How does ADHD impact task prioritization?,ADHD,life_management_flashcards_001_overwhelm_and_task_prioritization.json
