Symptom,Echo-Friendly Description,Diagnosis Weights,Tier
Emotional Reactivity,"Do your emotions feel intense, fast-shifting, or hard to control — like waves that crash in before you know what triggered them?","{'BPD': 1.0, 'C-PTSD': 1.0, 'PMDD': 1.0, 'Bipolar II': 1.0, 'ADHD': 0.5, 'Depression': 0.5, 'GAD': 0.5}",Tier 1
Time Blindness,"Do you often lose track of time — running late, forgetting appointments, or underestimating how long things take?","{'ADHD': 1.0, 'Depression': 0.5, 'Autism': 0.5, 'PTSD': 0.5}",Tier 1
Impulsivity,"Do you sometimes act before you think — like blurting things out, spending impulsively, or taking risks you later regret?","{'ADHD': 1.0, 'BPD': 1.0, 'Bipolar II': 1.0, 'C-PTSD': 0.5, 'OCD': -1.0}",Tier 1
Shame or Worthlessness,"Do you carry a deep feeling of being broken, unworthy, or not enough — even when no one else says so?","{'Depression': 1.0, 'C-PTSD': 1.0, 'BPD': 1.0, 'PMDD': 1.0, 'GAD': 0.5, 'Autism': 0.5}",Tier 1
Hypervigilance,Do you often feel on edge — like you're scanning the room or waiting for something to go wrong?,"{'PTSD': 1.0, 'C-PTSD': 1.0, 'GAD': 1.0, 'BPD': 0.5, 'ADHD': 0.5, 'Autism': 0.5}",Tier 1
Dissociation,"Do you ever feel far away — like you’re watching yourself from outside, or the world feels unreal?","{'C-PTSD': 1.0, 'PTSD': 1.0, 'BPD': 1.0, 'ADHD': 0.5, 'Depression': 0.5, 'Autism': 0.5}",Tier 1
Mood Cycles,"Do your moods shift in clear waves — days of low or high energy/emotion, often without clear triggers?","{'Bipolar II': 1.0, 'PMDD': 1.0, 'BPD': 0.5, 'ADHD': 0.5, 'C-PTSD': 0.5}",Tier 1
Intrusive Thoughts,"Do you get thoughts that come out of nowhere — disturbing, repetitive, or hard to stop thinking about?","{'OCD': 1.0, 'PTSD': 1.0, 'GAD': 1.0, 'BPD': 0.5, 'ADHD': 0.5}",Tier 1
Sensory Sensitivity,"Are you easily overwhelmed by sounds, lights, textures, or smells — like your senses are turned up too high?","{'Autism': 1.0, 'PTSD': 1.0, 'ADHD': 1.0, 'PMDD': 0.5, 'OCD': 0.5, 'GAD': 0.5}",Tier 1
Sleep Disruption,"Do you struggle to fall asleep, stay asleep, or feel rested — even when you're exhausted?","{'Depression': 1.0, 'GAD': 1.0, 'PTSD': 1.0, 'ADHD': 1.0, 'PMDD': 1.0, 'Bipolar II': 0.5, 'OCD': 0.5}",Tier 1
Perfectionism,"Do you feel driven to get everything 'just right' — like mistakes feel unbearable, or you avoid things you can’t do perfectly?","{'OCD': 1.0, 'GAD': 1.0, 'Autism': 0.75, 'ADHD': 0.5, 'Depression': 0.5}",Tier 1
Rejection Sensitivity,Do you feel deeply hurt or anxious when someone seems upset with you — even if they haven’t said anything?,"{'BPD': 1.0, 'C-PTSD': 1.0, 'ADHD': 0.75, 'GAD': 0.5, 'Autism': 0.5}",Tier 1
