Symptom,Echo-Friendly Description,Tier,Sample Weights,Vault Card Tags
Do you struggle to focus unless something really grabs your interest?,Like it’s easy to lock in on some things — but almost impossible on others?,Tier 1,"{'ADHD': 1.0, 'Autism': 0.5}","{'condition': ['ADHD', 'Autism'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you feel emotionally raw or extra sensitive right before your period?,Like tiny things trigger big feelings that don’t match the moment?,Tier 1,"{'PMDD': 1.0, 'BPD': 0.5}","{'condition': ['PMDD', 'BPD'], 'emotion': ['overwhelm'], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you find yourself imagining terrible outcomes — even when everything is fine?,Like your brain writes a horror movie out of everyday life?,Tier 2,"{'GAD': 1.0, 'OCD': 0.5}","{'condition': ['GAD', 'OCD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
"Do you forget basic things — appointments, birthdays, what you walked into the room for?",Like your short-term memory is a foggy mess?,Tier 2,"{'ADHD': 1.0, 'Depression': 0.5, 'CPTSD': 0.5}","{'condition': ['ADHD', 'Depression', 'CPTSD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you shut down emotionally or mentally after conflict?,Like your brain just flips a switch and everything goes blank?,Tier 1,"{'CPTSD': 1.0, 'Autism': 0.5, 'BPD': 0.5}","{'condition': ['CPTSD', 'Autism', 'BPD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
"Do you obsessively double-check things — locks, messages, stoves?","Even when you know you already did it, but don’t *feel* finished?",Tier 1,"{'OCD': 1.0, 'GAD': 0.5}","{'condition': ['OCD', 'GAD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you find it hard to relax in groups — like you're always scanning for signals?,"Even with people you like, do you feel like you’re still ‘on’?",Tier 2,"{'CPTSD': 1.0, 'GAD': 0.5, 'Autism': 0.5}","{'condition': ['CPTSD', 'GAD', 'Autism'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you react strongly when plans change suddenly?,Like unpredictability hits you harder than it should?,Tier 1,"{'Autism': 1.0, 'OCD': 0.5, 'CPTSD': 0.5}","{'condition': ['Autism', 'OCD', 'CPTSD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do your moods feel like they change quickly — sometimes even within the same hour?,"Like you wake up okay, and suddenly feel like crying two hours later?",Tier 1,"{'BPD': 1.0, 'PMDD': 0.5, 'Bipolar_II': 0.5}","{'condition': ['BPD', 'PMDD', 'Bipolar_II'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you struggle with remembering events from your past — either blurry or blocked out?,"Like parts of your story feel missing, or unreachable?",Tier 2,"{'CPTSD': 1.0, 'PTSD': 0.5}","{'condition': ['CPTSD', 'PTSD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you often start tasks but struggle to finish them?,Like you get halfway through and then stall out for no clear reason?,Tier 2,"{'ADHD': 1.0, 'Depression': 0.5}","{'condition': ['ADHD', 'Depression'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you notice your energy or motivation shift drastically depending on your environment?,"Like some spaces light you up, while others drain you instantly?",Tier 2,"{'ADHD': 0.5, 'Autism': 0.5, 'Depression': 0.5}","{'condition': ['ADHD', 'Autism', 'Depression'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you tend to avoid medical settings or find them especially stressful?,"Like appointments, hospitals, or even just check-ups cause you panic or shutdown?",Tier 2,"{'CPTSD': 1.0, 'Autism': 0.5}","{'condition': ['CPTSD', 'Autism'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you sometimes feel like you can't explain what's wrong — even when you're clearly struggling?,Like the words vanish or your brain fogs up under pressure?,Tier 2,"{'CPTSD': 1.0, 'Autism': 0.5, 'Depression': 0.5}","{'condition': ['CPTSD', 'Autism', 'Depression'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you feel like your emotional responses are more intense than others in the same situation?,Like you're ‘too much’ or *feel* things too loudly?,Tier 1,"{'BPD': 1.0, 'PMDD': 0.5}","{'condition': ['BPD', 'PMDD'], 'emotion': ['overwhelm'], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you have trouble transitioning between activities — even small ones?,Like shifting gears takes more mental effort than people expect?,Tier 1,"{'Autism': 1.0, 'ADHD': 0.5}","{'condition': ['Autism', 'ADHD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you frequently seek reassurance from people — even after they’ve already answered?,"Like you know you’ve asked, but you still need to hear it again?",Tier 1,"{'OCD': 1.0, 'GAD': 0.5, 'BPD': 0.5}","{'condition': ['OCD', 'GAD', 'BPD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you feel chronically unsafe — even when you're in a safe place?,"Like your body won't let you relax, no matter what’s around you?",Tier 1,"{'CPTSD': 1.0, 'PTSD': 0.5, 'GAD': 0.5}","{'condition': ['CPTSD', 'PTSD', 'GAD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
"Do you sometimes say ‘yes’ to things you don’t want, just to avoid the discomfort of saying no?",Like peacekeeping takes priority over your own wants?,Tier 2,"{'CPTSD': 1.0, 'BPD': 0.5, 'GAD': 0.5}","{'condition': ['CPTSD', 'BPD', 'GAD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you ever feel like your thoughts are too loud to fall asleep — even when you're exhausted?,"Like your brain won’t power down, no matter how tired your body is?",Tier 1,"{'GAD': 1.0, 'OCD': 0.5, 'ADHD': 0.5}","{'condition': ['GAD', 'OCD', 'ADHD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you get emotionally drained by small talk or surface-level interactions?,Like shallow conversation takes more out of you than deep ones?,Tier 2,"{'Autism': 1.0, 'CPTSD': 0.5}","{'condition': ['Autism', 'CPTSD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
"Do you often worry people are mad at you, even when they haven’t said anything?",Like your brain fills in silence with fear of being in trouble?,Tier 2,"{'GAD': 1.0, 'BPD': 0.5}","{'condition': ['GAD', 'BPD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you feel like your brain goes blank in high-pressure situations — even if you prepared?,Like you had the answer… until the moment you needed it?,Tier 2,"{'ADHD': 1.0, 'CPTSD': 0.5, 'Autism': 0.5}","{'condition': ['ADHD', 'CPTSD', 'Autism'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you find routine calming — even if you don’t always stick to one?,Like structure gives your brain space to breathe?,Tier 1,"{'Autism': 1.0, 'OCD': 0.5}","{'condition': ['Autism', 'OCD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you feel deep shame or self-judgment after expressing anger?,"Like the moment it’s out, you regret ever letting it show?",Tier 2,"{'BPD': 1.0, 'CPTSD': 0.5, 'Depression': 0.5}","{'condition': ['BPD', 'CPTSD', 'Depression'], 'emotion': ['shame'], 'narrative_type': ['lived_experience'], 'usage_mode': ['reflection']}"
Do you feel like you lose control of your emotions around your cycle?,"Like something takes over for a few days, then lifts after your period starts?",Tier 1,"{'PMDD': 1.0, 'BPD': 0.5}","{'condition': ['PMDD', 'BPD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
